Name	Set	Imagefile	Color	Rarity	Cost	Class	Type	Range	Attack	Support	Skill#1	Skill#2	Skill#3	Skill#4	
Guardian Golem, Golem of Despair	AD01	AD01-093	Brown	CustomsAG	3	Golem	Monster/Lance	1	60	10	Defend Her Holiness |CONT| This unit gains +10 attack for each other <Monster> ally with a different Unit Name.	Corrupted Existence |SPEC| You may deploy this card even if you have an allied "Guardian Golem". You may have 2 or more allied "Guardian Golem" at once.	Blood of Seiros |CONT| This unit cannot be destroyed by the cost or effect of your skills.	-
Altered Golem, Golem of Fear	AD01	AD01-094	Brown	CustomsAG	3	Golem	Monster/Lance	1-2	50	20	Lance of Light |CONT| While this unit is attacking a non-Main Character enemy, it gains +20 attack.	Corrupted Existence |SPEC| You may deploy this card even if you have an allied "Altered Golem". You may have 2 or more allied 'Altered Golem' at once.	Blood of Seiros |CONT| This unit cannot be destroyed by the cost or effect of your skills.	-
White Beast, Rampaging Dragon	AD01	AD01-095	Brown	CustomsAG	5	White Beast	Monster/Fang/Dragon	1-2	70	0	Brethren of Seiros |SPEC| If an allied "Immaculate One" evades, you may send this card from your hand to the Retreat Area instead of sending 1 "Immaculate One".	Corrupted Existence |SPEC| You may deploy this card even if you have an allied "White Beast". You may have 2 or more allied 'White Beast' at once.	Blood of Seiros |CONT| This unit cannot be destroyed by the cost or effect of your skills.	-
Immaculate One, The First Child	AD01	AD01-096	Brown	CustomsAG	7	Immaculate One	Monster/Fang/Dragon	1-3	80	0	Rampage of the Goddess' Children |AUTO| At the end of your turn, destroy all non-Main Character units.	Roar of Corruption |ACT| [Once Per Turn] [Destroy 1 Non-Main Character ally] | Choose up to 1 <Brown> <Monster> card with a Deployment Cost 5 or less from your Retreat Area, and deploy it.	[CP] Seiros Incarnate |HAND| |ACT| [Flip 1 Bond face-down] | If you have an allied "Rhea" or "Seiros", stack this card on top of one of them to Level Up her. This skill can only be used if you have 7 or more Bond cards.	-
Cichol, Ancient Hero of Fodlan	AD01	AD01-097	Brown	CustomsAG	6(4)	Wyvern Lord	Male/Lance/Flier/Dragon	1	70	30	Fury of the Nabateans |AUTO| When this unit is deployed, until the end of the turn, this unit gains +20 attack and acquires range 1-2.	Assal's Repentance |ACT| [Once Per Turn] [Flip 1 Bond face-down] Choose 1 non-Main Character enemy with a Deployment Cost of 5 or lower, and destroy them.	Goddess' Vanguard |CONT| All enemies lose "Anti-Fliers", and are unable to re-acquire it.	-
Cethleann, Miraculous Saint	AD01	AD01-098	Brown	CustomsAG	6(4)	Gremory	Female/Tome/Dragon	1-2	70	20	Fortifying Voice |AUTO| [Tapthis unit] When this unit is deployed, you may pay the cost and if you do: Until the end of your opponent's next turn, all allies cannot be destroyed by the cost or effect of enemy skills.	The Miracle of Caduceus |ACT| [Once Per Turn] [Flip 2 <Brown> Bonds face-down] Chose 2 non-Cethleann <Brown> cards with different Unit Names from your Retreat Area, and add them to your hand.	Slumber for a Thousand Years |AUTO| At the end of your turn, if this card was deployed by the effect of a skill, send this card to your Boundless Area.	-
The Wind Caller, Saint Lost in the Sands	AD01	AD01-099	Brown	CustomsAG	6	Lord of the Desert	Male/Fang/Dragon	1	80	20	Macuil's Binding Magic |CONT| Your opponent is unable to add cards from their Retreat Area to their hand.	Gale of the Desert |ACT| [Flip 3 Bonds face-down] Return all other non-Main Character units to their owner's hands.	Hatred for the 10 Elites |SPEC| This unit cannot be deployed by the effect of a skill.	-
The Immovable, Saint Lost in the Swamp	AD01	AD01-100	Brown	CustomsAG	6	Lord of the Lake	Male/Fang/Dragon	2-3	70	20	Indech's Martial Prowess |CONT| All non-Main Character enemies cannot Critical Hit or Evade.	Rapids of the Lake |ACT| [Once Per Turn] [Flip 2 Bonds face-down] Choose 1 enemy, and move them. Untap this unit.	Isolation from the World |SPEC| This unit cannot be deployed by the effect of a skill.	-

Robin (Male), Trusted Tactician	CF01	CF01-001	Blue	Custom	1	Tactician	Male/Sword	1	40	20	"My Other Half" |CONT| Allied "Chrom" gains +10 attack.	-	-	|ATK SUPP| Tactical Emblem: If your attacking unit is <Blue>, choose 1 enemy other than the defending unit. You may move that enemy.	
Robin (Male), Calculated Gambits	CF01	CF01-002	Blue	Custom	1	Tactician	Male/Tome	1-2	30	20	Maneuver Warfare |SPEC| When this card is sent from your hand to the Retreat Area as the result of a skill's cost or effect, you may choose 1 ally or enemy, and move them.	-	-	|ATK SUPP| Tactical Emblem: If your attacking unit is <Blue>, choose 1 enemy other than the defending unit. You may move that enemy.	
Robin (Male), Supporting Strategies	CF01	CF01-003	Blue	Custom	3(2)	Grandmaster	Male/Sword	1	60	20	"I've Got Your Back" |ACT| [Once per Turn] [Flip 1 Bond face-down, Send 1 <Blue> card from your hand to the Retreat Area] Choose 1 card from your Retreat Area with the same Unit name as your Main Character, and add it to your hand.	Redoubled Effort |CONT| During your turn, if you have less Orbs than your opponent, this unit gains +10 attack.	-	-	
Robin (Male), Strategy Delivered	CF01	CF01-004	Blue	Custom	4(3)	Grandmaster	Male/Tome	1-2	60	20	"Time to Tip The Scales" |AUTO| [Flip 2 Bonds face-down] When you Class Change into this unit, if you have 4 or less Orbs, you may pay the cost and if you do: Choose 1 card from your hand and add it to your Orbs. 	Spectrum Rally |ACT| [Once per Turn] [Send 1 "Robin (M)" from your hand to the Retreat Area] Choose 1 other ally. Until the end of your opponent's next turn, that ally gains +20 attack.	-	-	
Robin (Male), Exalt's Grandmaster	CF01	CF01-005	Blue	Custom	5(4)	Grandmaster	Male/Sword	1	70	20	 "I'm Always Three Steps Ahead" |ACT| [Once per Turn] Look at the top 3 cards of your Deck.	Company Commander |ACT| [Once per Turn] [Flip 1 Bond face-down] Choose 1 <Blue> card from your Retreat Area with a Deployment Cost of 1 or lower and deploy it.	Unseen Bonds |AUTO| [Once per Turn] [Tap 1 other <Blue> ally] When an enemy unit is deployed, you may pay the cost and if you do: Tap that enemy. During your next turn, the unit used to pay for this skill's cost cannot be untapped.	-	
Virion, Flattering Women	CF01	CF01-006	Blue	Custom	4(3)	Sniper	Male/Bow	2	60	20	"Allow Me, Fair Maiden" |ACT| [Once per Turn] Move this unit to a row a <Female> ally is in, and if you do, untap this unit.	Ladies' Man |AUTO| [Once per Turn] When this unit's attack destroys an enemy, you may choose 1 <Female> ally. Until the end of your opponent's next turn, that ally gains +10 attack.	"Anti-Fliers" |CONT| If this unit is attacking a <Flier>, this unit gains +30 attack.	-	
Vaike, Axe Losing Warrior	CF01	CF01-007	Blue	Custom	4(3)	Warrior	Male	-	70	10	"Got My Axe!" |ACT| [Send 1 <Axe> card from your hand to the Retreat Area] Until the end of the turn, this unit gains +30 attack, aquires <Axe> and range 1.	Overwhelming Ego |AUTO| When this unit attacks your opponent's Main Character, choose 1 of your opponent's Orbs, and destroy it.	"Whoops, My Axe!" |AUTO| At the end of this unit's attack, until the end of the turn, this unit loses all weapon types and range.	-	
Miriel, Inquiring Mind	CF01	CF01-008	Blue	Custom	4(3)	Sage	Female/Tome	1-2	60	20	Inquiries of Magic |ACT| [Once per Turn][Flip 3 Bonds face-down] Draw 4 cards. Choose 2 cards in your hand and send them to the Retreat Area.	Perplexing Palaver |ACT| [Tap this Unit] Destroy all non-Main Character <Tome> enemies with a Deployment Cost of 3 or lower. 	-	-	
Sumia, Winged Divination	CF01	CF01-009	Blue	Custom	4(3)	Falcon Knight	Female/Lance/Flier/Beast	1	60	30	Flower Fortune |ACT| [Once per Turn] Send the top 3 cards of your deck to the Retreat Area. If the Deployment Costs of the cards sent to the Retreat Area collectively total an odd number, choose any number of allies and move them.	Pair Up |SPEC| [Flip 3 <Blue> Bond cards face-down] When your Main Character is attacked, you may pay the cost, and if you do: Deploy this unit from your hand in the same area as your Main Character. Your Main Character is unable to be destroyed until the end of the combat. Until the end of the game you can not use "Pair Up". 	-	-	
Lon'qu, Swordmaster on Edge	CF01	CF01-010	Blue	Custom	4(3)	Swordmaster	Male/Sword	1	70	10	Counterstrike |AUTO| [Once per Turn] [Flip 1 Bond face-down] When this unit in the Front Line evades an attack from an enemy in the Front Line, you may pay the cost and if you do: reveal the top 5 cards of your Deck. If there is a "Lon'qu" among revealed cards, destroy the attacking enemy. Send all the revealed cards to the Retreat Area.	"Leave me, woman!" |ACT| [Once per Turn] Move a <Female> ally in the same row as this unit.	-	-	
Ricken, Minute Mage	CF01	CF01-011	Blue	Custom	3(2)	Sage	Male/Tome	1-2	50	20	Vertically Challenged |CONT| If this unit is in the Front Line, Non-Main Character enemies with a Deployment Cost of 4 or higher cannot attack this unit.	A Sudden Gust of Wind |SPEC| [Flip 1 <Blue> Bond face-down] When a <Flier> enemy with a Deployment Cost of 3 or lower is deployed, you may pay the cost and if you do: Deploy this unit from your hand. Return the <Flier> enemy to your opponent's hand. Until the end of your opponent's turn, your opponent is unable to deploy any cards of that unit name. This skill may only be used if you have 3 or more Bond cards.	-	-
Maribelle, Nobility Personified	CF01	CF01-012	Blue	Custom	4(3)	Valkyrie	Female/Tome/Beast	1-2	60	20	"Get Up Right This Instant!" |ACT| [Once per Turn] [Flip 1 <Blue> bond face-down] Choose 1 non-"Maribelle" card with a Class Change Cost from your Retreat Area and add it to your hand.	"We are Superior" |CONT| During your opponent's turn, all <Blue> Class Changed allies cannot be destroyed by the cost or effects of skills.	-	-	
Libra, Healer of Faith	CF01	CF01-013	Blue	Custom	4(3)	War Monk	Male/Axe	1	70	10	Healtouch |AUTO| [Once per Turn] [Flip 1 Bond face-down] When a card is added to your hand from your Retreat Area, you may pay the cost and if you do: choose 1 non-"Libra" card from the Retreat Area and add it to your hand.	Devout Worshipper |CONT| If you have 1 or more other <Staff> allies, this unit gains +10 attack.	-	-	
Donnel, Village Hero	CF01	CF01-014	Blue	Custom	4(3)	Hero	Male/Sword	1	70	10	"Fight and Get Stronger" |SPEC| [Flip 1 Bond face-down] If you have 2 or more Bond cards, when an allied "Donnel" destroys an enemy, you may pay the cost and if you do: Class Change allied "Donnel" with this card from your Retreat Area.	[LvS2] Cookware Helm |CONT| If this unit is being attacked by an enemy with a Deployment Cost 2 or lower, this unit gains +10 attack.	[LvS3] "Harvest the Fields!" |AUTO| At the end of your turn, if this unit is in the Front Line and you have 2 or more "Donnel" in the Retreat Area, choose 1 "Donnel" from your Retreat Area and add it to your Deck. Afterwards, shuffle your deck. Then, draw 1 card.	-	
Cherche, Wyvern Commander	CF01	CF01-015v2	Blue	Custom	5(4)	Wyvern Lord	Female/Axe/Flier/Dragon	1	70	30	Bloodcurdling Shriek |ACT| [Once per Turn] If this unit is in the Front Line, until the end of the turn, all enemies in the Front Line lose -10 attack.	"Snacktime, Minerva!" |ACT| [Once per Turn] [Flip 1 Bond face-down] Choose 1 non-Main Character enemy whose attack is 20 or lower than this unit's, and destroy them.	-	-
Olivia, Sweet Dancer	CF01	CF01-016	Blue	Custom	4	Dancer	Female/Sword	1	40	10	"Your Heart is All I Need" |CONT| If you have no allies other than this unit and your Main Character, both this unit and your Main Character gain +20 attack.	Special Dance |ACT| [Once per Turn] [Tap this unit, Flip 1 Bond face-down] Choose 1 ally that has attacked this turn and untap them.	-	-	
Henry, Crow Friend	CF01	CF01-017	Blue	Custom	5(4)	Dark Knight	Male/Sword/Beast	1	70	20	"Have Some Death!" |AUTO| [Once per Turn] [Send 1 of your "Henry" Bond cards to the Retreat Area] When an enemy is destroyed, you may pay the cost, and if you do: Choose 1 of your opponent's Orbs, and destroy it.	Void |ACT| [Once Per Turn] [Flip 1 Bond face-down] Choose up to 2 cards in your opponent's Retreat Area and send them to the Boundless Area. Until the end of the turn, this unit gains +10 attack for each card sent to the Boundless Area by this skill.	Malaise |ACT| [Once per Turn] Choose 1 of your opponent's cards in the Boundless Area and send it to their Retreat Area. Until the end of your opponent's next turn, the Deployment Cost of cards with the same unit Name as the chosen card in your opponent's hand is increased by 1.	-	
Lucina, Seeing Ahead	CF01	CF01-018	Blue	Custom	4(3)	Great Lord	Female/Sword	1	70	20	"Time to Change Fate!" |AUTO| When an ally Class Changes, draw 1 card per card stacked underneath them and choose the same number of cards from your hand and place them in any order on top of your deck.	Future Witness |ACT| [Once per Turn] Choose 1 of your Orbs and reveal it. If it has a Class Change cost, until the end of the turn, all allies gain +10 attack.	-	-	
Lucina, Brave Princess	CF01	CF01-019	Colorless	Custom	5(4)	Great Lord	Female/Lance	1	70	20	"Hope Will Never Die" |CONT| All other <Sword>, <Lance>, <Axe>, <Bow>, <Knife>, and <Fang> allies gain +10 attack. 	Geirskögul |CONT| If this unit is attacking a <Dragon>, this unit gains +30 attack.	-	-	
Morgan (Female), Studious Tactician	CF01	CF01-020	Blue	Custom	2	Tactician	Female/Tome	1-2	30	20	Studious |CONT| During your turn, this unit gains +10 for each different ally Weapon.	Curiosity |ACT| [Once per Turn] If this unit's attack is 60 or higher, draw 1 card. Choose 1 card from your hand and send it to the Retreat Area.	-	-	
Morgan (Female), Machinator	CF01	CF01-021	Blue	Custom	5(4)	Grandmaster	Female/Sword	1	70	20	Reclass |ACT| [Once per Turn] [Send 1 card from your hand to the Retreat Area] Gain the following effects according to the weapon type sent: <Sword>/<Axe>/<Lance>/<Fang>: Until the end of the turn, this unit gains +30 attack. <Tome>/<Bow>: Until the end of the turn, this unit gains 1-2 range. <Dragonstone>: Choose 1 card from your hand and place it face-down in the Bond Area. <Staff>: Choose 1 non-"Morgan (F)" card from the Retreat Area with a Deployment Cost of 1 or lower and add it to your hand. You can only have 1 instance of each effect.	Logistics |AUTO| At the end of your turn, if this unit is in the Front Line and you have 3 or fewer cards in your hand, draw 1 card.	-	-	
Morgan (Male), Machinator	CF01	CF01-022	Blue	Custom	5(4)	Grandmaster	Male/Sword	1	70	20	"Time to Even the Odds" |ACT| [Once per Turn] [Send 2 cards from your hand to the Retreat Area] If you have 4 or less Orbs, choose 1 card from the Retreat Area whose Deployment Cost is less than the collective total of the Deployment Costs of the cards sent to the Retreat Area, and add it to your Orbs.	"Press the Advantage" |ACT| [Once per Turn] [Flip 1 Bond face-down] Until the end of the turn, this unit gains range 1-2. If you have more Orbs than your opponent, choose 1 non-Main Character enemy, and destroy them.	-	-	
Aversa, Darkest Flier	CF01	CF01-023	Blue	Custom	3(2)	Dark Flier	Female/Tome/Flier/Beast	1-2	40	30	Machiavellian Arts |ACT| [Send 1 card from your hand to the Retreat Area] Your opponent may choose 1 of their non-Main Character units, and send them to the Boundless Area. If they do not, then until the end of the turn, this unit gains +30 attack.	Shadow Magic |AUTO| [Once per Turn] When an enemy is deployed through a skill's effect, you may choose 1 of your opponent's Bond cards, and flip it face-down.	-	-	
Aversa, Nefarious Trickery	CF01	CF01-024	Blue	Custom	4(3)	Sorcerer	Female/Tome	1-2	60	20	Debilitating Curse |ACT| [Send 1 card from your hand to Retreat Area] Choose 1 non-Main Character enemy. Until the end of the turn, that unit loses -30 attack.	Pestilence |AUTO| When an ally’s attack destroys an enemy chosen by this unit’s "Debilitating Curse", your opponent chooses 1 card from their hand and sends it to the Retreat Area. Until the end of your opponent's next turn, your opponent cannot deploy any unit with the same Unit Name as that card.	-	-	
Validar, Grima's Adulator	CF01	CF01-025	Blue	Custom	5(4)	Sorcerer	Male/Tome	1-2	60	0	Offering to the Fell Dragon |ACT| [Destroy 2 allies with a Deployment Cost of 2 or lower] Choose 1 "Grima" from your Retreat Area and add it to your hand.	"Your Bonds Bind You!" |AUTO| [Once per Turn] [Flip 1 Bond face-down] When this unit's attack destroys an enemy, if your opponent has 5 or more Bond cards, you may pay the cost and if you do: Choose 1 of your opponent's Bond cards and send it to the Boundless Area.	-	-	

Gharnef, Student of Khadein	CC01	CC01-01	Red	Custom	1	Dark Mage	Male/Tome	1	30	20	Shadow Magic |SPEC| You may deploy this card even if you already have an allied "Gharnef" and you may have 2 or more allied "Gharnef" at once. |SPEC| You may have 5 or more cards with the same Card Name as this card in your Deck.	Stolen Darksphere |CONT| Allied "Gharnef" with a Deployment Cost of 4 or higher gains +10 attack.	-	|ATK SUPP| Magic Emblem: Draw 1 card. Choose 1 card in your hand, and send it to the Retreat Area
Gharnef, Dark Dragon's Shadow	CC01	CC01-02	Red	Custom	4(3)	Sorcerer	Male/Tome	1-2	60	0	Dark Spectre |SPEC| You may deploy this card even if you already have an allied "Gharnef" and you may have 2 or more allied "Gharnef" at once. 	Dark Pontifex's Power |AUTO| [Once Per Turn] When this unit is attacked, you may change the attack target to another allied "Gharnef"	Protection of Imhullu |CONT| During your opponent's turn, if this unit is in the Front Line, this unit gains +10 attack.	-
Luke, Brash Altean Squire	CC01	CC01-03	Red	Custom	1	Cavalier	Male/Lance/Beast	1	40	10	Fierce Knight |CONT| During your turn, if the card supporting this unit is <Beast>, this unit gains +10 attack.	-	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.
Luke, Ferocious Knight of Altea	CC01	CC01-04	Red	Custom	4(3)	Paladin	Male/Lance/Beast	1	70	10	Offensive Push |CONT| During your turn, all <Beast> allies gain +10 attack.	Altean Manoeuvres |AUTO| At the end of a <Beast> ally's attack, you may move that ally.	-	-
Roderick, Calm Altean Squire	CC01	CC01-05	Red	Custom	1	Cavalier	Male/Lance/Beast	1	40	10	Steady Knight|CONT| During your opponent's turn, if the card supporting this unit is <Beast>, this unit gains +10 attack.	-	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.
Roderick, Hardened Knight of Altea	CC01	CC01-06	Red	Custom	4(3)	Paladin	Male/Lance/Beast	1	70	10	Defensive Stand|CONT| During your opponent's turn, all <Beast> allies gain +10 attack.	Patient Strategy|AUTO| At the end of your opponent's turn, you may move any number of <Beast> allies.	-	-
Cecil, Altean Junior Knight	CC01	CC01-07	Red	Custom	1	Cavalier	Female/Sword/Beast	1	40	10	Cavalier's Pride |CONT| If you have 1 or more other <Beast> allies in the same Area as this unit, this unit gains +10 attack.	-	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.
Cecil, Capable Altean Knight	CC01	CC01-08	Red	Custom	4(3)	Paladin	Female/Sword/Beast	1	70	10	Defiant Strike |CONT| If this unit is in combat with a <Male>, this unit gains +10 attack.	"I'm stronger than you think" |CONT| If this unit is attacked by a <Male>, the attacking unit cannot Critical Hit.	-	-
Ryan, Inspired Young Archer	CC01	CC01-09	Red	Custom	1	Archer	Male/Bow	2	30	20	"Brother!" |CONT| If this unit is being supported by "Gordin", this unit gains +30 attack. 	Anti-Fliers |CONT| If this unit is attacking a <Flier>, this unit gains +30 attack.	-	|ATK SUPP| Cover Emblem: At the end of this combat, you may move your attacking unit.
Minerva, Unsteady Queen of Macedon	CC01	CC01-10	Red	Custom	5(4)	Dracoknight	Female/Lance/Flier/Dragon	1	70	30	Macedonian Queen's Stength |ACT| [Once Per Turn] [Flip 2 Bonds face-down] Choose 1 non-"Minerva" card that is both <Flier> and <Dragon> from your Retreat Area, and add it to your hand. Then choose 1 <Flier> card from your Retreat Area, and place it on top of your deck.	Dominance of the Skies |CONT| <Flier> cards supporting allies acquire Flying Emblem. However, they cannot have more than one Support skill of the same Name. (Flying Emblem: Choose 1 ally, other than your attacking unit. You may move that ally.)	Leader of the Whitewings |CONT| Allied "Catria", "Palla", and "Est" gain +10 attack.	-
Michalis, Ambitious Prince	CC01	CC01-11	Red	Custom	1	Dracoknight	Male/Lance/Flier/Dragon	1	40	30	"You are beneath me." |CONT| This unit cannot attack enemies with a Deployment Cost of 1.	Imposing Prince |CONT| If this unit is being attacked by an enemy with a Deployment Cost of 1, this unit gains +10 attack.		|ATK SUPP| Flying Emblem: Choose 1 ally, other than your attacking unit. You may move that ally.
Michalis, Heartened King of Macedon	CC01	CC01-12	Red	Custom	5(4)	Dracoknight	Male/Lance/Flier/Dragon	1	70	30	Glory of Macedon |CONT| During your turn, all other <Flier> and <Dragon> allies gain +10 attack.	The King's Command |ACT| [Once Per Turn] [Flip 2 Bonds face-down] Choose 1 card that is both <Flier> and <Dragon> with a Deployment Cost of 4 or lower from your Retreat Area, and deploy it. If you have an allied "Maria", instead choose 1 card that is both <Flier> and <Dragon> with a Deployment Cost of 5 or lower from your Retreat Area, and deploy it.	Iote's Shield |CONT| All enemies lose "Anti-Fliers" and are unable to re-aquire it.	-
Maria, Young Macedonian Royalty	CC01	CC01-13	Red	Custom	3(2)	Bishop	Female/Tome	1-2	50	20	Macedonian Fortify |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 2 non-"Maria"cards that are both <Flier> and  <Dragon> with different names from your Retreat Area, and add them to your hand.	Blessed Princess |CONT| If this unit is in the Back Line and you have 1 or more allies that are both <Flier> and <Dragon>, enemies with 70 or higher attack cannot attack this unit.	-	-
Catria, Blue Whitewing Sister	CC01	CC01-14	Red	Custom	3(2)	Dracoknight	Female/Lance/Flier/Dragon	1	50	30	Dracoknight Triangle Attack |CONT| If you have both an allied "Palla" and "Est", this unit gains +20 attack.	Swift Wings Whitewings |ACT| [Once Per Turn|  Choose 1 other <Flier> ally, and move them. If that ally's Unit Name is "Palla" or "Est", you may move as many of this unit, allied "Palla" and "Est" as you wish instead.	-	-
Palla, Green Whitewing Sister	CC01	CC01-15	Red	Custom	3(2)	Dracoknight	Female/Lance/Flier/Dragon	1	50	30	Dracoknight Triangle Attack |CONT| If you have both an allied "Catria" and "Est", this unit gains +20 attack.	Strong Strike Whitewings |ACT| [Once Per Turn] [Flip 1 Bond face-down] Until the end of this turn, this unit and allied "Catria" and "Est" acquire range 1-2	-	-
Est, Red Whitewing Sister	CC01	CC01-16	Red	Custom	3(2)	Dracoknight	Female/Lance/Flier/Dragon	1	50	30	Dracoknight Triangle Attack |CONT| If you have both an allied "Palla" and "Catria", this unit gains +20 attack.	Sturdy Defense Whitewings |ACT| [Once Per Turn] [Flip 1 Bond face-down] Choose 1 <Flier> ally. Until the end of your opponent's next turn, that ally cannot be destroyed by the effect of enemy skills. If that ally's Unit Name is "Catria" or "Palla", until the end of your opponent's next turn, allied "Catria", "Palla" and "Est" cannot be destroyed by the effect of enemy skills. 	-	-
Marisha, Young Grustian Cleric	CC01	CC01-17	Red	Custom	1	Cleric	Female/Staff	-	20	20	Heal |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 1 non-"Marisha" card from your Retreat Area, and add it to your hand.	"I'll protect you!" |AUTO| [Once Per Turn] When your Main Character is being attacked, until the end of this combat, your Main Character gains +10 attack.	-	|DEF SUPP| Miracle Emblem: Until the end of this combat, your opponent's attacking unit cannot Critical Hit.
Marisha, Romantic Healer	CC01	CC01-18	Red	Custom	4(3)	Bishop	Female/Tome	1-2	60	20	Pure-hearted Healing |ACT| [Once Per Turn] [Flip 1 <Red> Bond face-down] Choose another non-Main Character ally. Choose 1 card from your Retreat Area with the same name as that ally, then add it to your hand.	Magical Prowess |CONT| When this unit is being attacked by a <Tome>, this unit gains +20 attack.	-	-
Sirius, Mysterious Paladin	CC01	CC01-19	Red	Custom	4(3)	Paladin	Male/Lance/Beast	1	70	10	Intimidating Resolve |ACT| [Once Per Turn] [Flip 1 <Red> Bond face-down] Choose 1 enemy. Until the end of the turn, that enemy loses -10 attack and its Deployment Cost becomes 1. 	Skilled Knight's Strike [AUTO][Once Per Turn] When this unit attacks a non-Main Character enemy with a Deployment Cost of 2 or lower. Until the end of this combat, this unit's attacks cannot be evaded.	-	-
Elice, Despairing Shadowed Princess	CC01	CC01-20	Red	Custom	4(3)	Bishop	Female/Tome	1-2	60	20	Shadowed Aum Staff |ACT| [Once Per Turn] [Flip 2 Bonds face-down] Choose 1 <Red> card from your Boundless Area, and deploy it.	Dark Sacrifice |AUTO| [Once Per Turn] When your allied "Medeus" is being attacked, this unit becomes the target of the attack instead.	Saintly Power |AUTO| When this unit is destroyed, until the end of the turn, your Main Character gains +10 attack.	-
Navarre, Scarlet Blademaster	CC01	CC01-21	Red	Custom	4(3)	Hero	Male/Sword	1	70	10	Honourable Swordsman |CONT| If the card supporting this unit is <Female>, when this unit Critical Hits, you may [Flip 1 <Red> Bond face-down] instead of sending 1 "Navarre" from your hand to the Retreat Area.	Blade Demon |AUTO| [Once Per Turn] When this unit Critical Hits, until the end of this combat, this unit's attacks cannot be evaded by non-Main Character enemies.	Ferocious Attacker |AUTO| When this unit Critial Hits without the effect of "Honourable Swordsman", until the end of this combat, the number of Orbs this unit's attacks will destroy becomes 2.	-
Samto, Navarre Aspirant	CC01	CC01-22	Red	Custom	4(3)	Hero	Male/Sword	1	70	10	"Navarre is not I?" |SPEC| If you have no allied "Samto", you can Level Up allied "Navarre" with this card. 	"I must insist" |CONT| If this unit Critical Hits or evades, you may send a "Navarre" in your hand to the Retreat Area instead of a "Samto".	Sharpening Killing Edge |ACT| [Once Per Turn] [Flip 1 bond face-down] Until the end of the turn, this unit gains +20 attack. If you have an allied "Navarre", until the end of the turn, the number of Orbs this unit's attacks will destroy becomes 2.	-
Lena, Possessed Priestess	CC01	CC01-23	Red	Custom	4(3)	Bishop	Female/Tome	1-2	60	20	Sacrifice for the Dark Dragon |SPEC| If an allied "Medeus" evades, you may send this card from your hand to the Retreat Area instead of sending 1 "Medeus" from your hand to the Retreat Area.	Dark Wizard's Puppet |ACT| [Once Per Turn] [Flip 1 <Red> Bond face-down] Choose 1 card with a Support Value of 0 from your Retreat Area, and add it to your hand.	Empowering the Shadow Dragon |ACT| [Destroy this unit] Choose 1 <Dragonstone> ally. Until the end of your opponent's next turn, that ally gains +20 attack.	-
Lorenz (Archanea), Guardian of Grust	CC01	CC01-24	Red	Custom	5(4)	General	Male/Lance/Armored	1	60	10	Sturdy Spear |ACT| [Once Per Turn] [Flip 1 Bond face-down] Until the end of the turn, this unit gains +20 attack and acquires range 1-2.	Legacy of Grust |CONT| Allied "Yumina" and "Yubello" gain +20 attack. 	Armor Expertise |CONT| If this unit is being attacked by a non-<Tome>, this unit gains +20 attack.	-
Matthis, Untrustworthy Knight	CC01	CC01-25	Red	Custom	3(2)	Paladin	Male/Lance/Beast	1	70	10	"I'll prove my strength!" |AUTO| When this unit attacks, until the end of this combat, this unit gains +10 attack.	Clumsy Knight |AUTO| When this unit is attacked, until the end of this combat, this unit loses -10 attack.	Sisterly Care |CONT| Allied "Lena" gains +10 attack.	-

Kent, Stern Knight	FS01	FS01-001	Purple	Custom	2	Cavalier	Male/Sword/Beast	1	50	10	"Sain, keep up!" |AUTO| [Tap this unit] When this unit is deployed, you may pay the cost and if you do, choose 1 "Sain" with a Deployment Cost of 2 or lower from your hand, and deploy it in the Front Line.	Focus on the Mission |CONT| If this unit is attacking the opponent's Main Character, this unit gains +10 attack.	-	-	
Sain, Lady Loving Knight	FS01	FS01-002	Purple	Custom	2	Cavalier	Male/Lance/Beast	1	50	10	"Kent, help?!" |AUTO| [Tap this unit] When this unit is deployed, you may pay the cost and if you do, choose 1 "Kent" with a Deployment Cost of 2 or lower from your hand, and deploy it in the Front Line.	Skirt-Chaser |CONT| If you have a <Female> ally, this unit's attack cannot be evaded by non-Main Character enemies.	-	-	
Dart, Amnesiac Pirate	FS01	FS01-003	Purple	Custom	2	Pirate	Male/Axe	1	50	10	Just Following Orders |CONT| If you have 1 or more allies with a Deployment Cost of 3 or higher, this unit gains +10 attack.	Pirate's Orders |CONT| If you have 2 or fewer Orbs, the number of Orbs that this unit's attack will destroy becomes 2.	-	-	
Geitz, The Wanderer	FS01	FS01-004	Purple	Custom	3(2)	Warrior	Male/Axe	1	60	10	Wandering Warrior |AUTO| [Once Per Turn] During your turn, when this unit is moved, this unit acquires <Bow>, range 2, and 'Anti-Fliers'. (Anti-Fliers |CONT| If this unit is attacking a <Flier>, this unit gains +30 attack.)	Pirate by Heart |CONT| If you have 1 or more other <Axe> allies, this unit gains +10 attack.	-	-	
