Name	Set	Imagefile	Color	Rarity	Cost	Class	Type	Range	Attack	Support	Skill#1	Skill#2	Skill#3	Skill#4	
Asugi, Sweet-Toothed Ninja	B02	B02-044N_SAMPLE	White	N	1	Ninja	Male/Knife	1-2	30	20	Hit and Run |AUTO|  When this unit's attack end, if he is in the Front Line, you may move this unit.	-	-	|ATK SUPP| Ninjutsu Emblem: You may choose 1 card from your hand, and send it to your Retreat Area. If you do, at the end of this combat, deploy this card tapped instead of sending it to the Retreat Area.	
Caeldori, Perfect Angel	B02	B02-045R_SAMPLE	White	R	3(2)	Falcon Knight	Female/Lance/Flier/Beast	1	50	30	[CCS] Rally Speed |AUTO| When a <Flier> ally's attack destroys an enemy, you may choose 1 ally, and move them. ([CCS] can only trigger if this unit is Class Changed.)	Weapon Conveyance |ACT| [Flip 1 Bond face-down] Choose 1 <Flier> ally. Until the end of the turn, that ally acquires range 1-2.	-	-	
Caeldori, Prodigal Warrior Girl	B02	B02-046N_SAMPLE	White	N	1	Sky Knight	Female/Lance/Flier/Beast	1	30	30	Admiration for her Father |CONT| If you have an allied "Subaki", this unit gains +10 attack.	-	-	|ATK SUPP| Flying Emblem: Choose 1 ally, other than your attacking unit. You may move that ally.	
Rhajat, Onmyoji of the Dark Flames of Love	B02	B02-047R_SAMPLE	White	R	3(2)	Onmyoji	Female/Tome	1-2	50	20	Talent for Sorcery |ACT| [Once per Turn]  [Flip 1 Bond face-down] Until the end of the turn, this unit gains +20 attack.	Studying of the Secret Arts |ACT| [Once per Turn] [Send 1 <Tome> from your hand to the Retreat Area] Draw 1 card.	-	-	
Rhajat, Black Magician	B02	B02-048N_SAMPLE	White	N	1	Diviner	Female/Tome	1-2	30	20	Familial Secret Art |CONT| During your turn, if you have 4 or more cards in your hand, this unit gains +20 attack. This skill only comes into effect if you have an allied "Hayato".	-	-	|ATK SUPP| Magic Emblem: Draw 1 card. Choose 1 card from your hand, and send it to the Retreat Area.	
Emma, Kinshi Knight Fledgling	B02	B02-049HN_SAMPLE	White	HN	3(2)	Kinshi Knight	Female/Bow/Flier/Beast	2	40	30	Following Her Seniors |CONT| If this card is supported by a <Flier>, this unit gains +10 attack.	Anti-Fliers |CONT| If this unit is attacking a <Flier>, this unit gains +30 attack.	-	-	
Emma, Sky Knight Apprentice	B02	B02-050N_SAMPLE	White	N	1	Sky Knight	Female/Lance/Flier/Beast	1	30	30	Winged Deliverer |ACT| [Tap this unit] Choose 1 other ally, and move them.	-	-	|ATK SUPP| Flying Emblem: Choose 1 ally, other than your attacking unit. You may move that ally.	
Corrin (Female), The Divine Sword's Chosen Princess	B02	B02-051SR_SAMPLE	Black	SR	5(4)	Nohr Noble	Female/Sword	1	70	20	Bloodstained Black Blade |ACT| [Flip 3 Bonds, Send 1 "Corrin (Female)" from your hand to the Retreat Area] Choose up to 3 non-Main Character enemies, and destroy them.	March of Dusk |ACT| [Flip 3 Bonds face-down, Send 1 "Corrin (Female)" from your hand to the Retreat Area] Until the end of your opponent's next turn, all <Black> allies gain +20 attack, and this unit acquires range 1-2.	-	-	
Corrin (Female), The Divine Sword's Chosen Princess+	B02	B02-051SRplus_SAMPLE	Black	SR+	5(4)	Nohr Noble	Female/Sword	1	70	20	Bloodstained Black Blade |ACT| [Flip 3 Bonds, Send 1 "Corrin (Female)" from your hand to the Retreat Area] Choose up to 3 non-Main Character enemies, and destroy them.	March of Dusk |ACT| [Flip 3 Bonds face-down, Send 1 "Corrin (Female)" from your hand to the Retreat Area] Until the end of your opponent's next turn, all <Black> allies gain +20 attack, and this unit acquires range 1-2.	-	-	
Corrin (Female), Dragon-Concealing Princess	B02	B02-052N_SAMPLE	Black	N	2	Nohr Princess	Female/Dragonstone/Dragon	1	60	20	Howl of the Dragon |AUTO| When this unit is deployed and If you have no allied "Azura", choose 1 of your face-up Bond cards, and flip it face-down.	-	-	-	
Corrin (Female), Princess of Nohr	B02	B02-053HN_SAMPLE	Black	HN	1	Nohr Princess	Female/Sword	1	40	20	Hoshidan Heart |CONT| Treat this unit as if she is also <White>. (|CONT| is in effect as long as this card is on the Battlefield as a unit.)	Grim Yato |CONT| During your turn, if you have 2 or more <Black> Bond cards, this unit gains +10 attack.	-	|ATK SUPP| Hero Emblem: Until the end of this combat, the number of Orbs that your <Black> attacking unit's attack will destroy becomes 2.	
Azura, Black Songstress	B02	B02-054R_SAMPLE	Black	R	3	Songstress	Female/Lance	1	50	10	Nohrian Hymn |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 1 <Black> ally that has attacked in this turn, and untap them. If you do, until the end of the turn, that ally gains +20 attack.	-	-	-	
Azura, Black Songstress+	B02	B02-054Rplus_SAMPLE	Black	R+	3	Songstress	Female/Lance	1	50	10	Nohrian Hymn |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 1 <Black> ally that has attacked in this turn, and untap them. If you do, until the end of the turn, that ally gains +20 attack.	-	-	-	
Azura, Lady of the Surface	B02	B02-055HN_SAMPLE	Black	HN	1	Songstress	Female/Lance	1	30	10	Healing Descant |ACT| [Tap this unit] Choose 1 other ally. Until the end of the turn, that ally gains +10 attack. This skill is only usable if you have 2 or more face-down Bond cards.	-	-	|ATK SUPP| Performance Emblem: If your attacking unit is <Black>, choose 1 ally with a Deployment Cost of 2 or lower, and untap them.	
Xander, Dark Paladin	B02	B02-056SR_SAMPLE	Black	SR	5(4)	Paladin	Male/Sword/Beast	1	70	10	Indomitable Conquest |AUTO| [Flip 1 Bond face-down] When this unit's attack destroys an enemy, you may pay the cost and if you do: Untap this unit and until the end of the turn, this unit loses -10 attack.	Inescapable Fate |AUTO| When you Class Change into this unit, until the end of the turn, this unit acquires range 1-2. and this unit's attacks cannot be evaded by non-Main Character enemies.	-	-	
Xander, Dark Paladin+	B02	B02-056SRplus_SAMPLE	Black	SR+	5(4)	Paladin	Male/Sword/Beast	1	70	10	Indomitable Conquest |AUTO| [Flip 1 Bond face-down] When this unit's attack destroys an enemy, you may pay the cost and if you do: Untap this unit and until the end of the turn, this unit loses -10 attack.	Inescapable Fate |AUTO| When you Class Change into this unit, until the end of the turn, this unit acquires range 1-2. and this unit's attacks cannot be evaded by non-Main Character enemies.	-	-	
Xander, Eldest Prince of Nohr	B02	B02-057N_SAMPLE	Black	N	1	Cavalier	Male/Sword/Beast	1	40	10	Eldest Nohrian Brother |AUTO| If this unit is being supported by "Camilla", "Leo", or "Elise", this unit gains +10 attack.	-	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.	
Camilla, Beautiful Reaper	B02	B02-058SR_SAMPLE	Black	SR	4(3)	Malig Knight	Female/Axe/Flier/Dragon	1	60	30	[CCS] Dark Princess of Flesh Blood |CONT| During your turn, this unit gains +60 attack. ([CCS] is only active if this unit is Class Changed.)	Savage Blow |AUTO| At the start of your turn, choose 1 non-Main Character enemy with a Deployment Cost of 1, and destroy them.	-	-	
Camilla, Eldest Princess of Nohr	B02	B02-059N_SAMPLE	Black	N	1	Wyvern Rider	Female/Axe/Flier/Dragon	1	30	30	Nohrian Princess |CONT| If you have 2 or more other <Black> allies, this unit gains +10 attack.	-	-	|ATK SUPP| Flying Emblem: Choose 1 ally, other than your attacking unit. You may move that ally.	
Leo, Prince of Darkness	B02	B02-060SR_SAMPLE	Black	SR	5(4)	Dark Knight	Male/Tome/Beast	1-2	60	20	Brynhildr, the Divine Weapon |ACT| [Once per Turn] [Flip 2 Bonds face-down, Send 1 "Leo" from your hand to the Retreat Area] Choose 2 cards from your opponent's hand without looking. Your opponent sends the chosen cards to the Retreat Area.	[CCS] Corroding Darkness |AUTO| When cards are sent to the Retreat Area by this unit's "Brynhildr, the Divine Weapon",  choose 1 enemy with the same Unit Name as either of those cards. Until the end of the turn, that enemy loses -20 attack. ([CCS] can only trigger if this unit is Class Changed.)	-	-	
Leo, Young Prince of Nohr	B02	B02-061N_SAMPLE	Black	N	1	Dark Mage	Male/Tome	1-2	30	20	Malefic Aura |CONT| If your opponent has 4 or lower cards in their hand, this unit gains +10 attack.	-	-	|ATK SUPP| Darkness Emblem: If your opponent has 5 or more cards in their hand, your opponent chooses 1 card from their hand and sends it to the Retreat Area.	
Elise, Shining Star in the Black Skies	B02	B02-062SR_SAMPLE	Black	SR	4(3)	Strategist	Female/Tome/Beast	1-2	60	20	"My turn!" |AUTO| [Flip 2 Bonds face-down, Destroy 1 of your Orbs] At the start of your turn, you may pay the cost and if you do: Choose up to 2 non-"Elise" cards from your Retreat Area, and add them to your hand.	[CCS] "Leave it to me!" |ACT| [Once per Turn] [Send 1 "Elise" from your hand to the Retreat Area] If you have no Orbs, add the topmost card of your Deck to your Orbs. ([CCS] can only be used if this unit is Class Changed.)	-	-	
Elise, Shining Star in the Black Skies+	B02	B02-062SRplus_SAMPLE	Black	SR+	4(3)	Strategist	Female/Tome/Beast	1-2	60	20	"My turn!" |AUTO| [Flip 2 Bonds face-down, Destroy 1 of your Orbs] At the start of your turn, you may pay the cost and if you do: Choose up to 2 non-"Elise" cards from your Retreat Area, and add them to your hand.	[CCS] "Leave it to me!" |ACT| [Once per Turn] [Send 1 "Elise" from your hand to the Retreat Area] If you have no Orbs, add the topmost card of your Deck to your Orbs. ([CCS] can only be used if this unit is Class Changed.)	-	-	
Elise, Young Princess of Nohr	B02	B02-063N_SAMPLE	Black	N	1	Troubadour	Female/Staff/Beast	-	30	20	Heal |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 1 non-"Elise" card from your Retreat Area, and add it to your hand.	-	-	|DEF SUPP| Miracle Emblem: Until the end of this combat, your opponent’s attacking unit cannot Critical Hit.	
Laslow, Beautiful Dancing-and-Slaying Hero	B02	B02-064R_SAMPLE	Black	R	4(3)	Hero	Male/Sword	1	70	10	"Perhaps you would join me for tea?" |ACT| [Once per Turn] [Tap 2 <Female> allies] Until the end of the turn, this unit gains +10 attack.	"One must be gracious to the fairer sex." |AUTO| When this unit's attack destroys an enemy, choose 1 ally who was tapped as the cost of this unit's "Perhaps you would join me for tea?" in this turn, and untap them.	-	-	
Laslow, Dancing Duelist	B02	B02-065N_SAMPLE	Black	N	1	Mercenary	Male/Sword	1	40	10	Laslow, Retainer of Xander |AUTO| When this unit is attacking, if you have an allied "Xander", then until the end of the turn, this unit gains +10 attack.	-	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.	
Peri, Innocent Killer	B02	B02-066R_SAMPLE	Black	R	3(2)	Great Knight	Female/Lance/Beast/Armored	1	60	10	"Look at all that gushing blood!" |AUTO| Each time a unit is destroyed, until the end of the turn, this unit gains +10 attack.	[CCS] Peri's Lance |ACT| [Flip 1 Bond face-down] Until the end of the turn, this unit acquires range 1-2. ([CCS] can only be used if this unit is Class Changed.)	-	-	
Peri, Childish Killer	B02	B02-067N_SAMPLE	Black	N	1	Cavalier	Female/Lance/Beast	1	40	10	Peri, Retainer of Xander |AUTO| When this unit is attacking, if you have an allied "Xander", until the end of the turn, this unit gains +10 attack.	-	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.	
Beruka, Loveless Edge	B02	B02-068HN_SAMPLE	Black	HN	3(2)	Wyvern Lord	Female/Axe/Flier/Dragon	1	50	30	Lunge |AUTO| When this unit's attack destroys an enemy, you may choose 1 ally, and move them.	[CCS] Tomahawk |ACT| [Once per Turn] [Flip 1 Bond face-down] Until the end of the turn, this unit gains +10 attack and acquires range 1-2. ([CCS] can only be used if this unit is Class Changed.)	-	-	
Beruka, Stoic Assassin	B02	B02-069N_SAMPLE	Black	N	1	Wyvern Rider	Female/Axe/Flier/Dragon	1	30	30	Beruka, Retainer of Camilla |CONT| If you have an allied "Camilla", this unit gains +10 attack.	-	-	|ATK SUPP| Flying Emblem: Choose 1 ally, other than your attacking unit. You may move that ally.	
Selena (Nohr), Loss-Hating Bow Knight	B02	B02-070R_SAMPLE	Black	R	3(2)	Bow Knight	Female/Bow/Beast	2	50	20	Fierce Rival |CONT| If you have 1 or more other allies with 100 or higher attack,  this unit gains +30 attack.	Mini Bow |ACT| [Flip 1 Bond face-down] Until the end of the turn, this unit acquires range 1-2.	Anti-Fliers |CONT| If this unit is attacking a <Flier>, this unit gains +30 attack.	-	
Selena (Nohr), Cutting Wit	B02	B02-071N_SAMPLE	Black	N	1	Mercenary	Female/Sword	1	40	10	Selena, Retainer of Camilla |CONT| If this unit is being supported by "Camilla", this unit gains +20 attack.	-	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.	
Odin, Chosen One of Darkness	B02	B02-072R_SAMPLE	Black	R	4(3)	Sorcerer	Male/Tome	1-2	60	20	One Hundred Torturous Moves |ACT| [Flip 1 Bond face-down] Until the end of the turn, this unit gains +10 attack.	[CCS] Genealogy of Infinite Pain, The Forbidden Tome |CONT| If your opponent has no cards in their hand, the number of Orbs that this unit’s attacks will destroy becomes 2. ([CCS] is only active if this unit is Class Changed.)	-	-	
Odin, Potent Force	B02	B02-073N_SAMPLE	Black	N	1	Dark Mage	Male/Tome	1-2	30	20	Odin, Retainer to Leo |CONT| If you have an allied "Leo", this unit gains +10 attack.	-	-	|ATK SUPP| Darkness Emblem: If your opponent has 5 or more cards in their hand, your opponent chooses 1 card from their hand and sends it to the Retreat Area.	
Niles, Cruel to Be Kind	B02	B02-074HN_SAMPLE	Black	HN	3(2)	Adventurer	Male/Bow	2	50	10	"The look on your face...Oh, how delectable!" |AUTO| [Once per Turn] When a card is sent from your opponent's hand to their Retreat Area by an ally's skill or your Support skill, then until the end of the turn, this unit gains +40 attack.	Anti-Fliers |CONT| If this unit is attacking a <Flier>, this unit gains +30 attack.	-	-	
Niles, Whisper of Pleasure	B02	B02-075N_SAMPLE	Black	N	1	Outlaw	Male/Bow	2	30	10	Niles, Retainer of Leo |CONT| If you have an allied "Leo", this unit gains +10 attack.	Anti-Fliers |CONT| If this unit is attacking a <Flier>, this unit gains +30 attack.	-	|ATK SUPP| Thief Emblem: Reveal the topmost card of your opponent’s Deck. You may send that card to the Retreat Area.	
Effie, Mighty Crusher	B02	B02-076HN_SAMPLE	Black	HN	3(2)	General	Female/Lance/Armored	1	50	10	Armor Expertise |CONT| If this unit is being attacked by a non-<Tome>, this unit gains +20 attack.	Armored Readiness |CONT| If this unit is being attacked by a non-<Tome>, if you have fewer Orbs than your opponent, this unit gains +10 attack.	-	-	
Effie, Army of One	B02	B02-077N_SAMPLE	Black	N	1	Knight	Female/Lance/Armored	1	30	10	Effie, Retainer to Elise |CONT| If this unit is being attacked by a non-<Tome>, this unit gains +30 attack. This skill only comes into effect if you have an allied "Elise".	-	-	|DEF SUPP| Defense Emblem: Until the end of this combat, your defending unit gains +20 attack.	
Arthur (Nohr), Mister Hardluck	B02	B02-078HN_SAMPLE	Black	HN	3(2)	Hero	Male/Axe	1	50	10	"Oh, save me, Arthur!" |CONT| If you have fewer Orbs than your opponent, the number of Orbs that this unit’s attacks will destroy becomes 2.	Hero's Expertise |CONT| During your turn, this units gains +20 attack.	-	-	
Arthur (Nohr), Hapless Hero	B02	B02-079N_SAMPLE	Black	N	1	Fighter	Male/Axe	1	40	10	Hero's Expertise |CONT| During your turn, this unit gains +20 attack.	"This is...a bottomless swamp?!" |AUTO| When this unit is deployed, if you have no allied "Elise" or "Percy", tap this unit.	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.	
Jakob, Fighting Butler	B02	B02-080SR_SAMPLE	Black	SR	5(4)	Butler	Male/Knife	1-2	60	20	"Come this way." |ACT| [Once per Turn] [Flip 1 Bond face-down] Move your Main Character.	"I shall tend to you at once." |ACT| [Once per Turn] [Flip 2 Bonds face-down] Choose 1 card with the same Unit Name as your Main Character from your Retreat Area, and add it to your hand.	"In your name." |ACT| [Once per Turn] [Flip 3 Bonds face-down] Untap your Main Character if they have attacked in this turn.	-	
Jakob, Devoted Servant	B02	B02-081N_SAMPLE	Black	N	3(2)	Butler	Male/Knife	1-2	50	20	Heal |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 1 non-"Jakob" card from your Retreat Area, and add it to your hand.	-	-	-	
Jakob, Devoted Servant+	B02	B02-081STplus_SAMPLE	Black	ST+	3(2)	Butler	Male/Knife	1-2	50	20	Heal |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 1 non-"Jakob" card from your Retreat Area, and add it to your hand.	-	-	-	
Gunter, Faithful Inveterate Soldier	B02	B02-082N_SAMPLE	Black	N	3(2)	Great Knight	Male/Lance/Beast/Armored	1	70	20	Battlefield Mentor |SPEC| This card cannot be placed in the Bond Area.	-	-	-	
Nyx, Youth-Concealed Darkness	B02	B02-083HN_SAMPLE	Black	HN	4(3)	Sorcerer	Female/Tome	1-2	50	20	Countercurse |AUTO| [Once per Turn] When an enemy's attack destroys this unit, your opponent chooses 1 card from their hand, and sends it to the Retreat Area.	-	-	-	
Nyx, Cursed Sorceress	B02	B02-084N_SAMPLE	Black	N	2	Dark Mage	Female/Tome	1-2	50	20	Youthful Figure |AUTO| At the end of your turn, if you have 6 or more cards in your hand, choose 5 cards to stay in your hand, and send the remainder to the Retreat Area.	-	-	-	
Charlotte, Two-Faced Berserker	B02	B02-085HN_SAMPLE	Black	HN	3(2)	Berserker	Female/Axe	1	50	10	Dreams of Gold-Digging |CONT| During your turn, this unit gains +10 attack per <Female> enemy.	-	-	-	
Charlotte, Sweet Warrior Maiden	B02	B02-086N_SAMPLE	Black	N	1	Fighter	Female/Axe	1	30	10	Unmask |CONT| If this unit is attacking a <Female>, this unit gains +30 attack.	-	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.	
Benny, Walking Legend	B02	B02-087HN_SAMPLE	Black	HN	3(2)	General	Male/Lance/Armored	1	50	10	Impregnable Shield |AUTO| [Flip 1 Bond face-down] When another ally is being attacked, you may pay the cost and if you do: This unit is attacked instead of that ally. This skill is only usable if this unit is in the Front Line.	Armor Expertise |CONT| If this unit is being attacked by a non-<Tome>, this unit gains +20 attack.	-	-	
Benny, Gentle Giant	B02	B02-088N_SAMPLE	Black	N	1	Knight	Male/Lance/Armored	1	30	10	Armor Expertise |CONT| If this unit is being attacked by a non-<Tome>, this unit gains +20 attack.	-	-	|DEF SUPP| Defense Emblem: Until the end of this combat, your defending unit gains +20 attack.	
Keaton, Contrarain Hungry Wolf	B02	B02-089HN_SAMPLE	Black	HN	3(2)	Wolfssegner	Male/Fang/Beast	1	60	10	[CCS] Wolfskin Leader |CONT| If you have 2 or more <Fang> Bond cards, this unit gains +10 attack. ([CCS] is only active if this unit is Class Changed.)	Fangbreaking Fang |CONT| If this unit is attacking a <Fang>, this unit gains +20 attack.	-	-	
Keaton, Leader of the Wolfskins	B02	B02-090N_SAMPLE	Black	N	1	Wolfskin	Male/Fang/Beast	1	40	10	Hunting with Friends |CONT| If the card supporting this unit is a <Fang>, this unit gains +10 attack.	-	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.	
Kana (Male), Dusk Divine Dragon Prince	B02	B02-091HN_SAMPLE	Black	HN	3(2)	Nohr Noble	Male/Dragonstone/Dragon	1	50	20	Rampaging Power |ACT| [Flip 1 Bond face-down] Flip all of your Bond cards face-down. If you have 6 or more Bond cards, then until the end of the turn, the number of Orbs this unit’s attacks will destroy becomes 2.	Blood-Kin of the First Dragons |CONT| If you have 6 or more Bond cards, this unit gains +30 attack.	-	-	
Kana (Male), Dragon Spawn	B02	B02-092N_SAMPLE	Black	N	1	Nohr Prince	Male/Dragonstone/Dragon	1	30	20	Blood-Kin of the First Dragons |CONT| If you have 4 or more Bond cards, this unit gains +30 attack.	-	-	|ATK SUPP| Dragonkin Emblem: If your attacking unit is <Black>, choose 1 card from your hand. You may place that card in your Bond Area.	
Forrest, Well-Dressed Prince	B02	B02-093R_SAMPLE	Black	R	3(2)	Strategist	Male/Tome/Beast	1-2	50	20	A New Tactic |CONT| During your opponent's turn, if this unit is untapped, allies cannot be moved by skills.	[CCS] Entrap |ACT| [Once per Turn] [Flip 1 Bond face-down] Choose 1 enemy in the Back Line, and move them. ([CCS] can only be used if this unit is Class Changed.)	-	-	
Forrest, Beautiful Prince+	B02	B02-093Rplus_SAMPLE	Black	R+	3(2)	Strategist	Male/Tome/Beast	1-2	50	20	New Tactics |CONT| During your opponent's turn, if this unit is untapped, allies cannot be moved by skills.	[CCS] Deadlock |ACT| [Once per Turn] [Flip 1 Bond face-down] Choose 1 enemy in the Back Line, and move them. ([CCS] can only be used if this unit is Class Changed.)	-	-	
Forrest, Fashion Forward	B02	B02-094N_SAMPLE	Black	N	1	Troubadour	Male/Staff/Beast	-	30	20	Heal |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 1 non-"Forrest" card from your Retreat Area, and add it to your hand.	"Am I... cute?" |SPEC| Treat this unit as if he is also <Female>.	-	|DEF SUPP| Miracle Emblem: Until the end of this combat, your opponent’s attacking unit cannot Critical Hit.	
Soleil, Swordswoman Standing in Sunlight	B02	B02-095R_SAMPLE	Black	R	3(2)	Hero	Female/Sword	1	60	10	Sol |AUTO| When this unit's attack destroys an enemy, until the end of your opponent’s next turn, this unit gains +20 attack.	[CCS] "You're just too pretty for words!" |CONT| If the card supporting this unit is <Female>, this unit gains +10 attack. ([CCS] is only active if this unit is Class Changed.)	-	-	
Soleil, Swordswoman Standing in Sunlight+	B02	B02-095Rplus_SAMPLE	Black	R+	3(2)	Hero	Female/Sword	1	60	10	Sol |AUTO| When this unit's attack destroys an enemy, until the end of your opponent’s next turn, this unit gains +20 attack.	[CCS] "You're just too pretty for words!" |CONT| If the card supporting this unit is <Female>, this unit gains +10 attack. ([CCS] is only active if this unit is Class Changed.)	-	-	
Soleil, Gynophile	B02	B02-096N_SAMPLE	Black	N	1	Mercenary	Female/Sword	1	40	10	"For those cute girls!" |AUTO| When this unit attacks, if you have 1 or more other <Female> allies, then until the end of the turn, this unit gains +10 attack.	-	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.	
Ophelia, Dusk Sorcerer	B02	B02-097R_SAMPLE	Black	R	3(2)	Sorcerer	Female/Tome	1-2	50	20	[CCS] Bibliophile |CONT| If the card supporting this unit is a <Tome>, this unit gains +20 attack. ([CCS] is only active if this unit is Class Changed.)	Royal Bloodmark of the Exalt |CONT| If this unit is being supported by "Odin", the number of Orbs this unit’s attack will destroy becomes 2.	-	-	
Ophelia, Dusk Sorcerer+	B02	B02-097Rplus_SAMPLE	Black	R+	3(2)	Sorcerer	Female/Tome	1-2	50	20	[CCS] Bibliophile |CONT| If the card supporting this unit is a <Tome>, this unit gains +20 attack. ([CCS] is only active if this unit is Class Changed.)	Royal Bloodmark of the Exalt |CONT| If this unit is being supported by "Odin", the number of Orbs this unit’s attack will destroy becomes 2.	-	-	
Ophelia, Inherited Sensitivity	B02	B02-098N_SAMPLE	Black	N	1	Dark Mage	Female/Tome	1-2	30	20	Luminery Uppercut |CONT| If your opponent has 4 or lower cards in their hand, this unit gains +10 attack.	-	-	|ATK SUPP| Darkness Emblem: If your opponent has 5 or more cards in their hand, your opponent chooses 1 card from their hand and sends it to the Retreat Area.	
Shade, Darkshade Instructor	B02	B02-099HN_SAMPLE	Black	HN	3(2)	Sorcerer	Female/Tome	1-2	50	20	Varied Strategies |CONT| If the card supporting this unit is not <Black>, this unit gains +10 attack.	-	-	-	
Shade, Bladeshade Teacher	B02	B02-100N_SAMPLE	Black	N	1	Dark Mage	Female/Tome	1-2	30	20	Malefic Aura |CONT| If your opponent has 4 or fewer cards in their hand, this unit gains +10 attack.	-	-	|ATK SUPP| Darkness Emblem: If your opponent has 5 or more cards in their hand, your opponent chooses 1 card from their hand and sends it to the Retreat Area.	
Ike, Brave General of the Sacred Blade	B03	B03-001SR_SAMPLE	Green	SR	5(4)	Lord	Male/Sword	1	70	20	[LvS3] Ragnell, the Sacred Blade |ACT| [Flip 1 Bond face-down] Until the end of the turn, this unit acquires range 1-2. This skill is only usable if this unit is in the Front Line.	[LvS4] Brave General of Salvation |AUTO| [Once per Turn] [Send 1 "Ike" from your hand to the Retreat Area] When this unit's attack destroys an enemy, you may pay the cost and if you do: Until the end of the turn, all allies gain +30 attack.	[LvS5] Inherited Swordsmanship |CONT| This unit gains +10 attack, and the number of Orbs this unit’s attacks will destroy becomes 2.	-	
Ike, Brave General of the Sacred Blade+	B03	B03-001SRplus_SAMPLE	Green	SR+	5(4)	Lord	Male/Sword	1	70	20	[LvS3] Ragnell, the Sacred Blade |ACT| [Flip 1 Bond face-down] Until the end of the turn, this unit acquires range 1-2. This skill is only usable if this unit is in the Front Line.	[LvS4] Brave General of Salvation |AUTO| [Once per Turn] [Send 1 "Ike" from your hand to the Retreat Area] When this unit's attack destroys an enemy, you may pay the cost and if you do: Until the end of the turn, all allies gain +30 attack.	[LvS5] Inherited Swordsmanship |CONT| This unit gains +10 attack, and the number of Orbs this unit’s attacks will destroy becomes 2.	-	
Ike, Knight of Crimea	B03	B03-002N_SAMPLE	Green	N	3(2)	Lord	Male/Sword	1	60	20	The General Enters the Fray |AUTO| When you Class Change into this unit, until the end of the turn, this unit acquires range 1-2.	-	-	-	
Ike, Young Mercenary	B03	B03-003HN_SAMPLE	Green	HN	1	Ranger	Male/Sword	1	40	20	[LvS2] Young Leader |CONT| This unit gains +10 attack. ([LvS2] is only active if a total of 2 or more cards are in this unit's stack.)	-	-	|ATK SUPP| Hero Emblem: Until the end of this combat, the number of Orbs that your <Green> attacking unit's attack will destroy becomes 2.	
Elincia, Restoration-Praying Wings	B03	B03-004SR_SAMPLE	Green	SR	4(3)	Princess Crimea	Female/Sword/Flier/Beast	1	60	30	"Give them a sound thrashing!" |AUTO| [Flip 1 Bond face-down] When this unit attacks, you may pay the cost and if you do: Until the end of the turn, all allies gain +10 attack.	Wings of Crimea |AUTO| When you Class Change into this unit, choose as many allies as you wish, and move them.	-	-	
Elincia, Surviving Princess	B03	B03-005N_SAMPLE	Green	N	1	Crimean Princess	Female/Staff	-	30	20	Princess's Encouragement |ACT| [Tap this unit, Flip 1 Bond face-down] Choose 1 other ally. Choose 1 card with the same Unit Name as that ally from your Retreat Area, and stack it under that ally to Growth them. (A unit who has Growthed is treated as if they are Leveled Up. If they possess a [CCS], they are able to use it.)	-	-	|DEF SUPP| Miracle Emblem: Until the end of this combat, your opponent’s attacking unit cannot Critical Hit.	
Mist, Holy-Hearted Valkyrie	B03	B03-006SR_SAMPLE	Green	SR	4(3)	Valkyrie	Female/Sword/Beast	1	60	20	[LvS3] Sonic Sword |CONT| This unit acquires <Tome> and range 1-2. ([LvS3] is only active if a total of 3 or more cards are in this unit's stack.)	Healing Wind |AUTO| [Flip 1 Bond face-down] When you Class Change into this unit, you may pay the cost and if you do: Choose 1 non-"Mist" card from your Retreat Area, and add it to your hand.	-	-	
Mist, Indulging Sister	B03	B03-007N_SAMPLE	Green	N	1	Cleric	Female/Staff	-	30	20	Heal |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 1 non-"Mist" card from your Retreat Area, and add it to your hand.	-	-	|DEF SUPP| Miracle Emblem: Until the end of this combat, your opponent’s attacking unit cannot Critical Hit.	
Titania, Deputy Commander of the Mercenaries	B03	B03-008HN_SAMPLE	Green	HN	3(2)	Paladin	Female/Axe/Beast	1	60	10	Mentoring the Next Generation |CONT| During your turn, instead of sending a card that successfully supports this unit to the Retreat Area, you may stack it under an ally with the same Unit Name as that card to Growth them. (A unit who has Growthed is treated as if they are Leveled Up. If they possess a [CCS], they are able to use it.)	Duty of the Deputy Commander |CONT| If you have 2 or more allies with a Deployment Cost of 2 or lower, this unit gains +10 attack.	-	-	
